barcode,code,YearWeek
TestProcessEligibleChannel2_1,XJCQ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,FG2F,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,PD2P,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,FRAH,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,F96X,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,2GXJ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,FAK2,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,HYQN,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,NDPR,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,GHE7,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,WFCM,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,YAQK,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,847N,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,8AJ3,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,RFED,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,7M8J,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,KRAM,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,4AD2,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,9XX3,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,96KK,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,RKWH,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,9Z3Z,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,AJZD,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,2ZG9,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,T6DB,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,QZL9,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,7NHL,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,A7MD,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,XTLT,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,GKDT,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,H3D4,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,HQDR,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,6PZ7,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,LWQ4,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,33C7,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,8ZMR,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,THRA,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,LDGX,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,QRQW,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,WXFY,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,EELT,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,83EJ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,6X7R,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,6TX4,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,YAHP,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,YVZQ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,34T7,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,DEB4,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,LT46,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,KEZK,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,HH7H,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,4MLM,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,BVQJ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,2RMB,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,W7AA,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,GMVE,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,89WM,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,N3ZZ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,HRTK,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,FLDH,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,LD4H,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,4VBG,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,B299,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,G38B,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,3JC4,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,6NV7,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,RX69,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,3K9T,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,QZK6,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,PKVV,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,XJXY,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,BQ4L,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,DDY7,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,9FWL,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,LL38,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,6VPZ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,HMTJ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,AVKG,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,RWMB,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,8VRF,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,MBL6,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,MT6E,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,ZYNV,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,9VWE,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,YVPP,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,DBNQ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,V4MF,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,L48Q,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,CCND,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,AKXQ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,YX3J,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,V736,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,RBZA,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,PETT,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,BK9E,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,DCQE,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,AX43,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,CAF6,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,ZBAA,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,ERKP,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,DC63,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,VAEX,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,G36A,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,QLXZ,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,YER9,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,BT4P,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,7GCD,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,MQKE,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,VEYP,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,QLJ2,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,AK9B,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,6PB7,TestProcessEligibleChannel2_1
TestProcessEligibleChannel2_1,NQCY,TestProcessEligibleChannel2_1
